Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Charles & Colvard,446126,https://www.charlesandcolvard.com/forever-one-0-80ctw-cushion-colorless-moissanite-gemstone-446127-100180-zz-zzz-zz-cu-m-0080,259.7,Cushion,0.8,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448278,https://www.charlesandcolvard.com/forever-one-0-80ctw-cushion-colorless-moissanite-gemstone-446127-100180-zz-zzz-zz-cu-m-0080,205.1,Cushion,0.8,GH,Brilliant,,,Lab Grown
Charles & Colvard,446127,https://www.charlesandcolvard.com/forever-one-1-10ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0110,351.4,Cushion,1.1,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448279,https://www.charlesandcolvard.com/forever-one-1-10ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0110,277.9,Cushion,1.1,GH,Brilliant,,,Lab Grown
Charles & Colvard,446129,https://www.charlesandcolvard.com/forever-one-1-70ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0170,597.8,Cushion,1.7,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448281,https://www.charlesandcolvard.com/forever-one-1-70ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0170,460.6,Cushion,1.7,GH,Brilliant,,,Lab Grown
Charles & Colvard,446130,https://www.charlesandcolvard.com/forever-one-2-00ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0200,774.9,Cushion,2,DEF,Brilliant,,,Lab Grown
Charles & Colvard,448282,https://www.charlesandcolvard.com/forever-one-2-00ctw-cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0200,597.8,Cushion,2,GH,Brilliant,,,Lab Grown
Charles & Colvard,446120,https://www.charlesandcolvard.com/cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0008,21.7,Cushion,0.08,F_OR_BETTER,Brilliant,,,Lab Grown
Charles & Colvard,448272,https://www.charlesandcolvard.com/cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0008,17.5,Cushion,0.08,F_OR_BETTER,Brilliant,,,Lab Grown
Charles & Colvard,446121,https://www.charlesandcolvard.com/cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0013,42,Cushion,0.13,F_OR_BETTER,Brilliant,,,Lab Grown
Charles & Colvard,448273,https://www.charlesandcolvard.com/cushion-colorless-moissanite-gemstone-100180-zz-zzz-zz-cu-m-0013,35,Cushion,0.13,F_OR_BETTER,Brilliant,,,Lab Grown
Charles & Colvard,462327,https://www.charlesandcolvard.com/forever-one-0-90ctw-oval-colorless-moissanite-gemstone-100181-zz-zzz-zz-ov-m-0090,299.6,Oval,0.9,DEF,Brilliant,,,Lab Grown
Charles & Colvard,462397,https://www.charlesandcolvard.com/forever-one-0-90ctw-oval-colorless-moissanite-gemstone-100181-zz-zzz-zz-ov-m-0090,238.7,Oval,0.9,GH,Brilliant,,,Lab Grown
Charles & Colvard,462328,https://www.charlesandcolvard.com/forever-one-1-50ctw-oval-colorless-moissanite-gemstone-100181-zz-zzz-zz-ov-m-0150,542.5,Oval,1.5,DEF,Brilliant,,,Lab Grown
Charles & Colvard,462398,https://www.charlesandcolvard.com/forever-one-1-50ctw-oval-colorless-moissanite-gemstone-100181-zz-zzz-zz-ov-m-0150,431.9,Oval,1.5,GH,Brilliant,,,Lab Grown
Charles & Colvard,551898,https://www.charlesandcolvard.com/forever-one-0-35ctw-marquise-colorless-moissanite-gemstone-100513-zz-zzz-zz-mq-m-0035,104.3,Marquise,0.35,DEF,Brilliant,,,Lab Grown
Charles & Colvard,551942,https://www.charlesandcolvard.com/forever-one-0-35ctw-marquise-colorless-moissanite-gemstone-100513-zz-zzz-zz-mq-m-0035,87.5,Marquise,0.35,GH,Brilliant,,,Lab Grown
Charles & Colvard,551899,https://www.charlesandcolvard.com/forever-one-0-50ctw-marquise-colorless-moissanite-gemstone-100513-zz-zzz-zz-mq-m-0050,177.8,Marquise,0.5,DEF,Brilliant,,,Lab Grown
Charles & Colvard,551943,https://www.charlesandcolvard.com/forever-one-0-50ctw-marquise-colorless-moissanite-gemstone-100513-zz-zzz-zz-mq-m-0050,151.2,Marquise,0.5,GH,Brilliant,,,Lab Grown
Charles & Colvard,551900,https://www.charlesandcolvard.com/forever-one-0-70ctw-marquise-colorless-moissanite-gemstone-100513-zz-zzz-zz-mq-m-0070,258.3,Marquise,0.7,DEF,Brilliant,,,Lab Grown
Charles & Colvard,551944,https://www.charlesandcolvard.com/forever-one-0-70ctw-marquise-colorless-moissanite-gemstone-100513-zz-zzz-zz-mq-m-0070,220.5,Marquise,0.7,GH,Brilliant,,,Lab Grown
Charles & Colvard,490959,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100179-g-zz-zzz-zz-as-m-0150,574.7,Asscher,1.5,DEF,Step,,,Lab Grown
Charles & Colvard,491039,https://www.charlesandcolvard.com/forever-one-moissanite-gemstone-100179-g-zz-zzz-zz-as-m-0150,439.6,Asscher,1.5,GH,Step,,,Lab Grown
Charles & Colvard,619544,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0095,297.5,Round,0.95,DEF,Rose,,,Lab Grown
Charles & Colvard,619566,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0095,247.8,Round,0.95,GH,Rose,,,Lab Grown
Charles & Colvard,619545,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0120,382.2,Round,1.2,DEF,Rose,,,Lab Grown
Charles & Colvard,619567,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0120,319.9,Round,1.2,GH,Rose,,,Lab Grown
Charles & Colvard,619546,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0130,471.8,Round,1.3,DEF,Rose,,,Lab Grown
Charles & Colvard,619568,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0130,387.1,Round,1.3,GH,Rose,,,Lab Grown
Charles & Colvard,619547,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0160,646.1,Round,1.6,DEF,Rose,,,Lab Grown
Charles & Colvard,619569,https://www.charlesandcolvard.com/round-rose-cut-moissanite-loose-gemstone-101185-zz-zzz-zz-rd-m-0160,532,Round,1.6,GH,Rose,,,Lab Grown
Charles & Colvard,647619,https://www.charlesandcolvard.com/pear-rose-cut-moissanite-gemstone-101213-zz-zzz-zz-pr-m-0045,171.5,Pear,0.45,DEF,Rose Cut,,,Lab Grown
