Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Brilliant Earth,14821247A,https://www.brilliantearth.com/2.12-Ct.-Fancy-Vivid-Pink-Radiant-Lab-Grown-Diamond-14821247A/,3740,Radiant,2.12,pink,,VS1,,Lab Grown
Brilliant Earth,15183612A,https://www.brilliantearth.com/6.01-Ct.-Fancy-Vivid-Green-Emerald-Lab-Grown-Diamond-15183612A/,15160,Emerald,6.01,green,,VS2,,Lab Grown
Brilliant Earth,18466254A,https://www.brilliantearth.com/1.01-Ct.-Fancy-Vivid-Blue-Oval-Lab-Grown-Diamond-18466254A/,1050,Oval,1.01,blue,,VS1,,Lab Grown
Brilliant Earth,17663892A,https://www.brilliantearth.com/3.59-Ct.-Fancy-Intense-Yellow-Cushion-Lab-Grown-Diamond-17663892A/,7200,Cushion,3.59,yellow,,VS1,,Lab Grown
Brilliant Earth,16489175Y,https://www.brilliantearth.com/2.10-Ct.-Fancy-Vivid-Green-Radiant-Lab-Grown-Diamond-16489175Y/,4540,Radiant,2.1,green,,VVS2,,Lab Grown
Brilliant Earth,15920189A,https://www.brilliantearth.com/1.00-Ct.-Fancy-Vivid-Green-Oval-Lab-Grown-Diamond-15920189A/,1770,Oval,1,green,,VVS2,,Lab Grown
Brilliant Earth,18466649A,https://www.brilliantearth.com/1.39-Ct.-Fancy-Intense-Pink-Cushion-Lab-Grown-Diamond-18466649A/,2460,Cushion,1.39,pink,,VVS2,,Lab Grown
Brilliant Earth,15536498Y,https://www.brilliantearth.com/3.10-Ct.-Fancy-Vivid-Blue-Cushion-Lab-Grown-Diamond-15536498Y/,4260,Cushion,3.1,blue,,VS2,,Lab Grown
Brilliant Earth,17942628A,https://www.brilliantearth.com/0.30-Ct.-Fancy-Vivid-Pink-Pear-Lab-Grown-Diamond-17942628A/,390,Pear,0.3,pink,,VS2,,Lab Grown
Brilliant Earth,17944380A,https://www.brilliantearth.com/0.70-Ct.-Fancy-Intense-Pink-Pear-Lab-Grown-Diamond-17944380A/,1000,Pear,0.7,pink,,VS1,,Lab Grown
Brilliant Earth,14731166A,https://www.brilliantearth.com/1.06-Ct.-Fancy-Vivid-Blue-Radiant-Lab-Grown-Diamond-14731166A/,940,Radiant,1.06,blue,,VS1,,Lab Grown
Brilliant Earth,15034606A,https://www.brilliantearth.com/0.81-Ct.-Fancy-Vivid-Pink-Pear-Lab-Grown-Diamond-15034606A/,1160,Pear,0.81,pink,,VS1,,Lab Grown
Brilliant Earth,15182444A,https://www.brilliantearth.com/8.55-Ct.-Fancy-Vivid-Green-Emerald-Lab-Grown-Diamond-15182444A/,21560,Emerald,8.55,green,,VS2,,Lab Grown
Brilliant Earth,17650297A,https://www.brilliantearth.com/1.01-Ct.-Fancy-Vivid-Orangy-Pink-Radiant-Lab-Grown-Diamond-17650297A/,1500,Radiant,1.01,pink,,VS1,,Lab Grown
Brilliant Earth,15537486Y,https://www.brilliantearth.com/1.52-Ct.-Fancy-Vivid-Blue-Pear-Lab-Grown-Diamond-15537486Y/,1690,Pear,1.52,blue,,VS1,,Lab Grown
Brilliant Earth,15604430A,https://www.brilliantearth.com/7.36-Ct.-Fancy-Vivid-Pink-Cushion-Lab-Grown-Diamond-15604430A/,17680,Cushion,7.36,pink,,VS2,,Lab Grown
Brilliant Earth,14692775A,https://www.brilliantearth.com/1.29-Ct.-Fancy-Vivid-Yellow-Pear-Lab-Grown-Diamond-14692775A/,1750,Pear,1.29,yellow,,VS1,,Lab Grown
