Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Fluorescence,Polish Grade,Symmetry Grade,Depth (%),Table,Girdle,Culet,Width,Height,Depth,Grading Lab,Grading Certificate ID,Grading Link,Origin,360 Video Link
Brilliant Earth,17735010A,https://www.brilliantearth.com/loose-diamonds/view_detail/73996197/,550,Round,0.28,G,Super Ideal,VVS2,None,Excellent,Excellent,60.2,59,"Slightly Thick, Faceted",None,4.24,4.22,2.55,GIA,7548635680,https://www.gia.edu/report-check?reportno=7548635680,Mined,
Brilliant Earth,17734856A,https://www.brilliantearth.com/loose-diamonds/view_detail/73996187/,550,Round,0.28,H,Super Ideal,VVS2,None,Excellent,Excellent,61.4,60,"Medium - Slightly Thick, Faceted",None,4.22,4.19,2.58,GIA,6541625952,https://www.gia.edu/report-check?reportno=6541625952,Mined,
Brilliant Earth,17734872A,https://www.brilliantearth.com/loose-diamonds/view_detail/73995995/,550,Round,0.28,F,Super Ideal,VS2,None,Excellent,Excellent,60.7,58,"Medium - Slightly Thick, Faceted",None,4.27,4.26,2.59,GIA,2546633705,https://www.gia.edu/report-check?reportno=2546633705,Mined,
Brilliant Earth,16623942A,https://www.brilliantearth.com/loose-diamonds/view_detail/73995145/,550,Princess,0.37,H,Very Good,VVS2,None,Very Good,Very Good,70.5,74,Slightly Thick - Thick,None,4,3.95,2.78,GIA,1538962426,https://www.gia.edu/report-check?reportno=1538962426,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1538962426&surl=//image.brilliantearth.com/media/v360/&version=2
Brilliant Earth,16860419A,https://www.brilliantearth.com/loose-diamonds/view_detail/73709086/,550,Round,0.27,F,Super Ideal,VS2,None,Excellent,Excellent,61.9,58,"Medium - Slightly Thick, Faceted",None,4.14,4.12,2.56,GIA,6545214509,https://www.gia.edu/report-check?reportno=6545214509,Mined,
Brilliant Earth,17619000A,https://www.brilliantearth.com/loose-diamonds/view_detail/73013542/,550,Round,0.26,E,Super Ideal,VVS2,None,Excellent,Excellent,63,55,"Medium - Slightly Thick, Faceted",None,4.06,4.04,2.55,GIA,1545534985,https://www.gia.edu/report-check?reportno=1545534985,Mined,
Brilliant Earth,17618983A,https://www.brilliantearth.com/loose-diamonds/view_detail/73013499/,550,Round,0.27,F,Super Ideal,VS2,None,Excellent,Excellent,61.4,57,"Medium - Slightly Thick, Faceted",None,4.16,4.14,2.55,GIA,2547531868,https://www.gia.edu/report-check?reportno=2547531868,Mined,
Brilliant Earth,16777318Y,https://www.brilliantearth.com/loose-diamonds/view_detail/73258958/,550,Emerald,0.51,H,Ideal,VS2,None,Excellent,Very Good,67,67,Medium - Slightly Thick,,5.35,3.89,2.61,GIA,6532993470,https://www.gia.edu/report-check?reportno=6532993470,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6532993470&surl=//image.brilliantearth.com/media/v360/&version=4
Brilliant Earth,16707543Y,https://www.brilliantearth.com/loose-diamonds/view_detail/63349459/,550,Cushion,0.51,D,Ideal,VVS1,Very Strong,Excellent,Very Good,67.4,61,Thin - Very Thick,,4.63,4.43,2.99,GIA,2534311113,https://www.gia.edu/report-check?reportno=2534311113,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2534311113&surl=//image.brilliantearth.com/media/v360/&version=8
Brilliant Earth,16559575A,https://www.brilliantearth.com/loose-diamonds/view_detail/68080191/,550,Round,0.4,E,Ideal,SI2,None,Excellent,Very Good,62.9,56,Medium,None,4.67,4.65,2.93,HRD,250000250609,,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=250000250609&surl=//image.brilliantearth.com/media/v360/&version=16
Brilliant Earth,17200551A,https://www.brilliantearth.com/loose-diamonds/view_detail/69200579/,550,Cushion,0.51,H,Ideal,SI1,Medium,Very Good,Excellent,69.1,63,Slightly Thick,None,5.54,4.1,2.83,GIA,6541398886,https://www.gia.edu/report-check?reportno=6541398886,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6541398886&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,13813133Y,https://www.brilliantearth.com/loose-diamonds/view_detail/50988900/,550,Round,0.5,E,Super Ideal,SI2,None,Excellent,Excellent,61,59,Medium - Slightly Thick,None,5.13,5.11,3.12,GIA,2506293294,https://www.gia.edu/report-check?reportno=2506293294,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2506293294&surl=//image.brilliantearth.com/media/v360/&version=40
Brilliant Earth,13825304Y,https://www.brilliantearth.com/loose-diamonds/view_detail/50987650/,550,Pear,0.4,E,Very Good,VS1,None,Very Good,Very Good,63.1,59,Slightly Thick - Thick,None,6.69,4.01,2.53,GIA,5516484242,https://www.gia.edu/report-check?reportno=5516484242,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=5516484242&surl=//image.brilliantearth.com/media/v360/&version=24
Brilliant Earth,14675382A,https://www.brilliantearth.com/loose-diamonds/view_detail/71308839/,550,Round,0.46,E,Very Good,SI1,None,Excellent,Very Good,62.4,61,Slightly Thick - Thick,None,4.9,4.85,3.04,GIA,6522354845,https://www.gia.edu/report-check?reportno=6522354845,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6522354845&surl=//image.brilliantearth.com/media/v360/&version=2
Brilliant Earth,18195064A,https://www.brilliantearth.com/loose-diamonds/view_detail/76210577/,550,Round,0.33,G,Super Ideal,VS1,None,Excellent,Excellent,62.2,58,Med-Stk,None,4.45,4.43,2.76,GIA,1548872252,https://www.gia.edu/report-check?reportno=1548872252,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1548872252&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,15978027A,https://www.brilliantearth.com/loose-diamonds/view_detail/75387263/,550,Round,0.4,J,Very Good,VVS2,None,Excellent,Very Good,63.9,56,Medium - Slightly Thick,None,4.67,4.63,2.97,GIA,7533612347,https://www.gia.edu/report-check?reportno=7533612347,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=7533612347&surl=//image.brilliantearth.com/media/v360/&version=4
Brilliant Earth,15916690A,https://www.brilliantearth.com/loose-diamonds/view_detail/73995088/,550,Round,0.4,D,Good,SI1,Medium,Excellent,Very Good,66,56,Slightly Thick - Thick,None,4.6,4.57,3.02,GIA,6531336692,https://www.gia.edu/report-check?reportno=6531336692,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6531336692&surl=//image.brilliantearth.com/media/v360/&version=6
Brilliant Earth,16493136A,https://www.brilliantearth.com/loose-diamonds/view_detail/76685049/,550,Round,0.37,E,Super Ideal,VS1,None,Excellent,Excellent,60.9,60,Thin - Slightly Thick,None,4.66,4.64,2.84,GIA,5536860069,https://www.gia.edu/report-check?reportno=5536860069,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=5536860069&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,18044360A,https://www.brilliantearth.com/loose-diamonds/view_detail/76582828/,550,Round,0.44,E,Super Ideal,SI1,None,Excellent,Excellent,62.6,57,Medium - Slightly Thick,None,4.89,4.87,3.05,GIA,2547759612,https://www.gia.edu/report-check?reportno=2547759612,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2547759612&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,11298073A,https://www.brilliantearth.com/loose-diamonds/view_detail/76582825/,550,Round,0.46,E,Ideal,SI1,None,Excellent,Very Good,61.8,58,Medium - Slightly Thick,None,4.98,4.94,3.07,GIA,7501056106,https://www.gia.edu/report-check?reportno=7501056106,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=7501056106&surl=//image.brilliantearth.com/media/v360/&version=79
Brilliant Earth,16541557A,https://www.brilliantearth.com/loose-diamonds/view_detail/67158823/,550,Round,0.46,D,Ideal,SI1,Medium,Excellent,Very Good,63,55,Medium - Slightly Thick,None,4.92,4.87,3.09,GIA,1539844299,https://www.gia.edu/report-check?reportno=1539844299,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1539844299&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,18356958A,https://www.brilliantearth.com/loose-diamonds/view_detail/76819010/,550,Round,0.3,E,Super Ideal,VS1,Faint,Excellent,Excellent,62.5,56,Medium,None,4.28,4.25,2.66,GIA,3545932063,https://www.gia.edu/report-check?reportno=3545932063,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=3545932063&surl=//image.brilliantearth.com/media/v360/&version=4
Brilliant Earth,18117262A,https://www.brilliantearth.com/loose-diamonds/view_detail/76819004/,550,Round,0.3,F,Super Ideal,VVS2,Faint,Excellent,Excellent,60.5,61,Medium,None,4.36,4.34,2.63,GIA,6541832794,https://www.gia.edu/report-check?reportno=6541832794,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6541832794&surl=//image.brilliantearth.com/media/v360/&version=12
Brilliant Earth,18464319A,https://www.brilliantearth.com/loose-diamonds/view_detail/76819689/,550,Emerald,0.5,J,Ideal,VS1,None,Very Good,Very Good,66.4,62,Medium - Thick,None,5.65,3.67,2.44,GIA,2547942064,https://www.gia.edu/report-check?reportno=2547942064,Mined,
Brilliant Earth,18464085A,https://www.brilliantearth.com/loose-diamonds/view_detail/76819629/,550,Emerald,0.5,I,Super Ideal,VS1,Faint,Excellent,Excellent,70,65,Slightly Thick - Thick,None,5.15,3.77,2.64,GIA,7548940774,https://www.gia.edu/report-check?reportno=7548940774,Mined,
Brilliant Earth,18464686A,https://www.brilliantearth.com/loose-diamonds/view_detail/76819289/,550,Round,0.42,I,Ideal,VVS1,None,Very Good,Excellent,60.7,58,Medium,None,4.86,4.83,2.94,GIA,6542935661,https://www.gia.edu/report-check?reportno=6542935661,Mined,
Brilliant Earth,17993513A,https://www.brilliantearth.com/loose-diamonds/view_detail/76474874/,550,Oval,0.31,F,Ideal,VS2,None,Excellent,Very Good,62.5,59,Medium - Thick,None,5.34,3.8,2.38,GIA,5546767885,https://www.gia.edu/report-check?reportno=5546767885,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=5546767885&surl=//image.brilliantearth.com/media/v360/&version=2
Brilliant Earth,17874345A,https://www.brilliantearth.com/loose-diamonds/view_detail/76486501/,550,Cushion,0.51,F,Ideal,SI1,Faint,Excellent,Very Good,68.4,62,Medium - Thick,None,4.92,4.22,2.89,GIA,6545732366,https://www.gia.edu/report-check?reportno=6545732366,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6545732366&surl=//image.brilliantearth.com/media/v360/&version=4
Brilliant Earth,17242921A,https://www.brilliantearth.com/loose-diamonds/view_detail/73995104/,550,Princess,0.38,H,Very Good,VS1,None,Very Good,Very Good,75.2,74,Slightly Thick - Thick,None,4,3.89,2.93,GIA,1543461698,https://www.gia.edu/report-check?reportno=1543461698,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1543461698&surl=//image.brilliantearth.com/media/v360/&version=4
Brilliant Earth,17931963A,https://www.brilliantearth.com/loose-diamonds/view_detail/76822214/,550,Pear,0.54,I,Super Ideal,VS2,None,Excellent,Excellent,64.4,62,,None,6.96,4.49,2.89,IGI,776693147,https://www.igi.org/reports/verify-your-report?r=776693147,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=776693147&surl=//image.brilliantearth.com/media/v360/&version=6
Brilliant Earth,18454152A,https://www.brilliantearth.com/loose-diamonds/view_detail/76776479/,550,Round,0.31,H,Super Ideal,VS2,None,Excellent,Excellent,62.1,57,Medium - Slightly Thick,None,4.34,4.32,2.69,GIA,7541940786,https://www.gia.edu/report-check?reportno=7541940786,Mined,
Brilliant Earth,18454026A,https://www.brilliantearth.com/loose-diamonds/view_detail/76776633/,550,Round,0.3,E,Super Ideal,SI1,None,Excellent,Excellent,60.8,58,Medium - Slightly Thick,None,4.32,4.3,2.62,GIA,6545943999,https://www.gia.edu/report-check?reportno=6545943999,Mined,
Brilliant Earth,18454213A,https://www.brilliantearth.com/loose-diamonds/view_detail/76776722/,550,Round,0.3,G,Super Ideal,VS1,None,Excellent,Excellent,61.3,58,Medium - Slightly Thick,None,4.33,4.3,2.65,GIA,6545938789,https://www.gia.edu/report-check?reportno=6545938789,Mined,
Brilliant Earth,18471304A,https://www.brilliantearth.com/loose-diamonds/view_detail/76840886/,550,Round,0.5,J,Very Good,VVS1,None,Excellent,Excellent,62.8,56,"Med_To_Stk, Faceted",None,5.08,5.07,3.19,GIA,2546844198,https://www.gia.edu/report-check?reportno=2546844198,Mined,
Brilliant Earth,16438866Y,https://www.brilliantearth.com/loose-diamonds/view_detail/76840866/,550,Round,0.52,I,Super Ideal,SI1,Faint,Excellent,Excellent,63,58,Medium - Slightly Thick,None,5.15,5.11,3.23,GIA,2536482960,https://www.gia.edu/report-check?reportno=2536482960,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2536482960&surl=//image.brilliantearth.com/media/v360/&version=10
Brilliant Earth,16692175A,https://www.brilliantearth.com/loose-diamonds/view_detail/76740021/,550,Pear,0.34,E,Very Good,SI2,None,Excellent,Very Good,56.8,64,"Med To Vtk ,Faceted",None,6.31,3.99,2.27,GIA,1538802065,https://www.gia.edu/report-check?reportno=1538802065,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1538802065&surl=//image.brilliantearth.com/media/v360/&version=6
Brilliant Earth,18347060A,https://www.brilliantearth.com/loose-diamonds/view_detail/76566820/,550,Round,0.4,G,Super Ideal,SI2,Faint,Excellent,Excellent,62.1,57,Medium - Slightly Thick,None,4.75,4.72,2.94,GIA,6542919160,https://www.gia.edu/report-check?reportno=6542919160,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6542919160&surl=//image.brilliantearth.com/media/v360/&version=0
